activity,county,date,score,state
bar,San Francisco,2020-05-20 00:00:00,-0.18907191011235952,California
beauty salon,Collin,2020-05-27 00:00:00,-0.13579999999999998,Texas
bowling alley,New York,2020-06-03 00:00:00,-0.4528444444444444,New York
bowling alley,New York,2020-05-27 00:00:00,0.14046428571428568,New York
bowling alley,Franklin,2020-05-27 00:00:00,-0.9957,Ohio
cafe,Los Angeles,2020-06-03 00:00:00,-0.7693136363636366,California
cafe,Los Angeles,2020-05-27 00:00:00,-0.6236357142857144,California
cafe,Los Angeles,2020-05-20 00:00:00,0.1900307692307692,California
cafe,Cook,2020-06-03 00:00:00,0.2722217391304348,Illinois
cafe,Cook,2020-05-27 00:00:00,-0.06154545454545451,Illinois
cafe,Cook,2020-05-20 00:00:00,0.22219361702127657,Illinois
cafe,San Diego,2020-05-27 00:00:00,-0.013395555555555574,California
cafe,San Diego,2020-05-20 00:00:00,-0.19492857142857137,California
cafe,Orange,2020-06-03 00:00:00,0.34313030303030306,Florida
cafe,Dallas,2020-06-03 00:00:00,0.5084547619047617,Texas
cafe,Kings,2020-05-27 00:00:00,-0.004438461538461532,New York
cafe,Queens,2020-05-20 00:00:00,0.13987142857142856,New York
cafe,King,2020-05-27 00:00:00,-0.2909636363636363,Washington
cafe,San Bernardino,2020-05-27 00:00:00,-0.013395555555555574,California
cafe,San Bernardino,2020-05-20 00:00:00,-0.19492857142857137,California
cafe,Santa Clara,2020-06-03 00:00:00,-0.05608000000000002,California
cafe,Santa Clara,2020-05-27 00:00:00,-0.3740681818181818,California
cafe,Santa Clara,2020-05-20 00:00:00,-0.16022857142857141,California
cafe,New York,2020-06-03 00:00:00,0.05174038461538459,New York
cafe,New York,2020-05-27 00:00:00,-0.4886410256410257,New York
cafe,New York,2020-05-20 00:00:00,-0.23000869565217394,New York
cafe,Sacramento,2020-05-20 00:00:00,0.06623333333333334,California
cafe,Palm Beach,2020-06-03 00:00:00,-0.6753923076923076,Florida
cafe,Palm Beach,2020-05-27 00:00:00,-0.17430819672131143,Florida
cafe,Palm Beach,2020-05-20 00:00:00,-0.47178787878787887,Florida
cafe,Orange,2020-06-03 00:00:00,0.34313030303030306,Florida
cafe,Salt Lake,2020-06-03 00:00:00,0.3473694915254238,Utah
cafe,Salt Lake,2020-05-27 00:00:00,0.11145915492957743,Utah
cafe,Salt Lake,2020-05-20 00:00:00,-0.6926344827586208,Utah
cafe,Contra Costa,2020-05-27 00:00:00,0.3846,California
cafe,Mecklenburg,2020-05-27 00:00:00,-0.7075833333333333,North Carolina
cafe,Wake,2020-06-03 00:00:00,0.5084547619047617,North Carolina
cafe,Wake,2020-05-27 00:00:00,0.24744761904761903,North Carolina
cafe,Wake,2020-05-20 00:00:00,-0.01755555555555557,North Carolina
cafe,St. Louis,2020-06-03 00:00:00,0.43984788732394364,Missouri
cafe,St. Louis,2020-05-27 00:00:00,-0.34294102564102563,Missouri
cafe,St. Louis,2020-05-20 00:00:00,0.12035897435897436,Missouri
cafe,Prince George's,2020-05-27 00:00:00,-0.05999583333333334,Maryland
cafe,San Francisco,2020-05-27 00:00:00,-0.013395555555555574,California
cafe,San Francisco,2020-05-20 00:00:00,-0.19492857142857137,California
